"question","answer"
"Tezin Bölümlerinin Niteliği","Önsöz, Özet ve Giriş Bölümlerinin sahip olması gereken nitelikler genel özelliklerdir ve tüm bilimler için
standarttır. Bunun dışındaki başlıklarda anabilim dallarının bilimsel çalışma kültürlerinden kaynaklı
değişiklikler olabilir."
"Önsöz","İlk paragrafta tez konusunun önemi, zorlukları, sınırları ve isteklendirme
(motivasyon) faktörleri hakkında bilgi verilmelidir. Bu bilgiler kesinlikle tez yazarı
tarafından doğaçlama olarak yazılmalı herhangi bir alıntı yapılmamalıdır. Bu
açıklamalar için gerek duyuluyorsa 2-3 kısa paragraf oluşturulabilir. Bu bilgiyi
izleyen yeni bir paragrafta, önce tez çalışmalarına doğrudan katkı saylayan ve
sonra dolaylı katkısı olan kişi, kurum ve kuruluşlara teşekkür edilmeli, ancak,
yapılan katkılar açıkça ifade edilmelidir. Önsöz metninin son paragrafında, tez
çalışmalarına protokol numaralı proje ile maddi destek sağlayan ve/veya yazılı olur
müsaadesi veren kurum/kuruluşlara ilgili yazı ve protokol numaraları belirtilerek
teşekkür edilir."
"Tezin Bölümlerinin Niteliği - Özet","İlk 1-2 cümlede konunun önemi ve tezin amacı verilmeli, sonra 
kullanılan metot ile bulgular kısaca sunulmalıdır. Son olarak 
üretilen bilgi kısaca ifade edilmelidir. Özetin altında, konuyu 
tanımlayan en az 3 (üç) en fazla 6 (altı) anahtar kelime 
bulunmalıdır. Özet metninin 250 kelimeyi aşmamasına özen 
gösterilmeli, şekil, tablo, kaynak gösterimi, üst ve alt simge, 
denklem ve sembol kullanılmasından kaçınılmalı en fazla bir 
sayfa olmalıdır."
"Tezin Bölümlerinin Niteliği - Giriş","Tezin bilimsel konusu, önemi, problemi, tezin başlıca amacı,
problemin çözümüne yönelik geliştirilen hipotezler ve/veya
varsayımlar, genel kavramlar öncelikli olarak verilir. Daha
sonra diğer araştırmacılar tarafından yapılan çalışma
özetlerine literatür bilgisine yer verilir. Tez çalışmasında
yararlanılan kaynakların büyük bir kısmının bu bölüm içinde
verilmesi okuyucu açısından önemlidir. GİRİŞ Bölümünün son
paragrafı tez çalışmasını konu almalı, yapılan çalışmalar
hakkında kısa bir bilgi niteliği taşımalıdır."
"Tezin Bölümlerinin Niteliği
 - Materyal ve Metot","Kullanılan materyaller (malzeme, cihaz, harita, arazi, program
vb.) ve metotlar (deney sistemleri, teorik yaklaşımlar, anketler,
analiz yöntemleri vb.) bu bölümde sunulur. Tez çalışmasında
yararlanılmayan, sonuçların elde edilmesinde destek olmayan,
hipotezlerin doğrulanmasına veya çürütülmesine katkı
sağlamayan bilgiler verilmemelidir. Materyal ve Metot ayrı ana
başlıklar halinde de düzenlenebileceği gibi, bu başlıklar altında 3.
dereceyi aşmamak şartıyla alt başlıklar da kullanılabilir. Giriş
Bölümü ile Materyal ve Metot Bölümü arasında; literatür bilgisi,
materyal veya metotla ilgili en fazla iki ana başlık kullanılabilir. 31"
"Tezin Bölümlerinin Niteliği - Bulgular","Elde edilen veriler ile tezin hipotezleri arasında mantıksal ilişkiler
kurmayı sağlayacak bir düzende sadece tez çalışmasından üretilip
analizleri yapılmış verilerin tablolar, grafikler ve/veya denklemler halinde
sunulduğu bölümdür. Alt başlıklar kullanılıyor ise alt başlığın kullanılma
gerekçesi (belki bir hipotezin tekrarlanması) metin olarak yapılmalıdır.
Bu bölümde veriler yorumsuz verilir. Bu bölüm Bulgular ve Tartışma
başlığı ile de sunulabilir. Bu durumda, sunulan bulgular ile birlikte
tartışmalar da yapılır.
Tartışmaların sadece kişisel yorumlar ile değil diğer çalışmacıların elde
ettiği sonuçlarla birlikte değerlendirilerek yapılması (kaynak gösterilerek
değinmelerde bulunulması) gereklidir. Tartışmalarda kesin yargı
cümleleri kullanmaktan kaçınılmalıdır."
"Tezin Bölümlerinin Niteliği
Sonuçlar ve Tartışma:","Bulgular kısmında sunulan verilerin ve analizlerin literatür
desteğiyle yorumlanıp tartışıldığı, hipotezleri doğrulayan veya
çürüten bulguların irdelendiği ve tez çalışmasından üretilen
bilginin açık bir dille (belki maddeler halinde) sunulduğu
bölümdür. Literatür desteği olmadan tartışma yapılmamalıdır."
"Tezin Bölümlerinin Niteliği
Öneriler","Okuyucular ve hatta tez yazarı için gelecekte faydalı olabilecek,
tez çalışmaları esnasında yapmaya fırsat bulunamayan veya
daha sonra akla gelen çalışmalar, hipotezler veya varsayımlar bu
bölümde listelenmelidir."
"Tezin Bölümlerinin Niteliği
Kaynaklar","Tez konusu ile ilgili başlıca eserlere ve güncel kaynaklara yer verilmeli,
ilgisi bulunmayan kaynaklar kesinlikle bulunmamalıdır. Bu bölümde
sunulan tüm kaynaklara tezin metin bölümlerinde mutlaka atıf
yapılmalı, değinilmelidir. Etik ihlal oluşturabilecek önemli bir bölümdür,
dikkatli olunmalıdır."
"Tezin Bölümlerinin Niteliği
Ekler","Analizi yapılmayan, sadece bulguları desteklemek amacıyla üretilmiş,
tez metni içinde verilmesi halinde konunun akışını bozacak ve
okuyucuyu sıkacak bilgi, belge, veri, bilgisayar kodları/akış şemaları veya
denklem çıkarımları Ekler Bölümünde sunulmalıdır. Kullanılan eklere
etiket numaraları ile birlikte tez metni içinde değinme yapılmalıdır."
"Tez Sayfa sayısı","Bir tezde toplam sayfa sınırlaması yapmak pek mümkün
değildir. Fen ve mühendislik alanlarında hazırlanan yüksek
lisans tezlerinin dünya genelinde 40 - 80 sayfa aralığında
olduğu, doktora tezlerinin ise büyük oranda 60 - 180 sayfa
aralığında olduğu görülmektedir. Lisansüstü öğrenim süreleri
dikkate alındığında bu sayfa değerlerinin makul olduğu
düşünülebilir.
Burada önemsenmesi gereken husus tezin toplam sayfa
sayısından ziyade; Bulgular ve Tartışma ile Sonuçlar Bölümleri
için kullanılan sayfa sayısının Giriş ile Materyal ve Metot için
kullanılan sayfa sayısına oranı olmalıdır."
"Tez Yazma Araçları","Tez yazımında MS Word, LATEX veya yazım
kurallarını sağlayabilecek bir bilgisayar programı
kullanılmalıdır. Tez yazım sürecinde, Enstitü internet
sayfasında (fen.firat.edu.tr) bulunan “Tez ve Seminer
Şablonları” içindeki şablonlardan ve örneklerden
yararlanılabilir.
LATEX programı son yıllarda öğrencilerimiz tarafında
tercih edilmekte ve MS Word programına göre daha
az problem oluşmaktadır."
"Tez Sayfa Numaraları","Sayfa numaraları sayfanın altında, ortada ve sayfa alt
kenarından 1,5 cm yukarıda olacak şekilde, Times New Roman
fontu ve 10 punto kullanılarak verilmelidir. Zorunlu olarak yatay
kullanılan sayfalarda da sayfa numarası, diğer sayfalarda
olduğu gibi kağıdın dik konumunda sayfanın altında ortalı
olarak yazılmış olmalıdır.
Pencere Altı Kapak sayfası ve Özgeçmiş sayfası tezin
sayfalarından sayılmaz, bu sayfalara sayfa numarası verilmez.
İç Kapak “ i ” nolu sayfadır fakat sayfa numarası gizlenir. Tez
Onayı, Beyan ve varsa İthaf sayfaları da aynı şekilde sayılır ve
numaraları gizlenir."
"Tez Şekil ve Tablo Kullanımı","Tezde kullanılan her şekil veya tabloya, konulduğu yerden
önceki metinde mutlaka değinilmiş (şekil etiketi ile birlikte)
olmalıdır. Bunlar metni destekleyici görsel malzemelerdir.
Metinde değinilmeyen şekil ya da tabloların bilimsel anlamı
yoktur. Tezde kullanılan tüm görsel malzemeler Şekil
olarak isimlendirilmeli; fotoğraf, şema, grafik, harita gibi
farklı isimler kesinlikle kullanılmamalıdır.
Tablolarda gölgelendirme, çizgi renklendirilme ve zorunlu
olmadıkça renkli metin kullanılmamalıdır. Çizgi yoğunluğu
azaltılmalı, düşey çizgi kullanımından kaçınılmalıdır."
"Tez Denklem Yazımı","Denklem (eşitlik) yazımında ve numaralarında 11 punto kullanılmalıdır. Çok satırdan
oluşan denklemler için 10 punto kullanılabilir. Denklemler bir denklem yazıcı editör
programıyla hazırlanmalı kesinlikle resim formatında hazırlanmamalıdır. Alt alta
gelen satırlardaki farklı denklem satırları arasında 1 boşluk (10 nk) verilir.
Denklemlerin bulunduğu satırlar 1 cm girinti ile başlar, numaraları sağa yaslıdır.
Denklem satırından önce ve sonra 10 punto tek aralık 1 satır boşluk (10 nk)
bırakılmalıdır. Teorik ve denklem üretmeye yönelik tezlerde denklemler ortalı
yazılabilir. Denklem numaraları her bölüm içinde yeniden başlatılmalı ve ilk rakam
bölüm numarasını temsil etmelidir."
"Tez Kaynak Gösterme","Herhangi bir kaynaktan alınan ve tez metni içinde kullanılmak
istenen bilgiler, her ne suretle olursa olsun (kendi cümlelerinizle
değiştirilerek, özetlenerek veya olduğu gibi) bilginin alındığı kaynağa
atıf yapılarak kullanılmak zorundadır.
Atıf yapılmayan cümlelerdeki bilgiler yazara aitmiş gibi kabul
edildiğinden, başka kaynaklardan alınan bilgilere ilgili yerde atıf
yapılmamış olması, etik kuralların ihlali olarak değerlendirilir.
Tez veya seminer yazımında kaynak gösteriminde Numara sistemi
tercih edilmeli ve tezin veya seminerin tamamında seçilen yöntem
kullanılmalıdır.
Mendeley veya EndNote gibi uygulamalardan yararlanmak faydalı
olabilir."
"Kaynak Göstermede Numara Sistemi","Değinme yapılan kaynaklara, ilk değinmenin yapıldığı yerde [1] ile başlayarak
birbirini izleyen numaralar verilmelidir. Kaynak numaraları metin içinde atıf yapılan
yerde köşeli parantez içine alınarak gösterilmelidir (örneğin: [1], [2], [3,4], [2-5,7] gibi).
Numaraları birbirini takip eden kaynaklara değinme yapılacaksa, [2-6], [3-9] gibi
birincisi ve sonuncusunun numaraları arasına çizgi (-) konularak aşağıdaki
örneklere uygun olarak yazılmalıdır."
"Kaynaklar Listesi","Metin içinde atıf yapılan her kaynağın KAYNAKLAR Bölümünde yer alması
zorunlu olduğu gibi KAYNAKLAR Bölümünde bulunan her kaynağa da
metin içinde mutlaka değinilmiş (atıf yapılmış) olmalıdır."
"Fen Bilimleri Enstitüsü Tez Yazımı
ÖZGEÇMİŞ","Tezin son sayfası tez yazarının akademik özgeçmişinden oluşur.
Resmi bir formatta olmalı, fotoğraf ve özel hayata ait bilgiler
içermemelidir. Yazara ait genel kimlik bilgileri, yabancı dil bilgisi,
eğitim bilgileri, varsa iş tecrübesi, akademik araştırma
deneyimleri/becerileri, bilişim sistemleri deneyimleri ve
akademik eserleri ile proje deneyimlerini içermelidir.
Doktora yayın şartını sağlamak üzere yapılan yayın veya bildiri
faaliyetleri mutlaka özgeçmiş içinde belirtilmelidir. Ayrıca, tez
çalışmaları proje destekleri ile yürütülmüş ise bu projeler de
mutlaka özgeçmiş sayfasında ilgili alanda belirtilmelidir."
